VelX;Y;ClosestItemX;EnemyHeading;ClosestRadarY;VelY;ShotVelDir;X;EnemyShield;EnemyDistance;RadarY;RadarX;ShotAlert;EnemyX;ClosestItemY;ShotVel;EnemySpeed;ClosestRadarX;Orientation;Action;ShotDist;EnemyY
0;1032;-1;6.95293379818203e-310;139;0;-1;2327;-1;9999.0;74;167;-1;-1;-1;-1;6.95293379818203e-310;144;90.0;None;-1;-1
0;1032;-1;6.95293379818203e-310;138;0;-1;2327;-1;9999.0;74;167;-1;-1;-1;-1;6.95293379818203e-310;145;90.0;None;-1;-1
0;1032;-1;6.95293379818203e-310;138;0;306;2327;-1;9999.0;74;167;55;-1;-1;34;6.95293379818203e-310;147;90.0;None;230;-1
0;1032;-1;6.95293379818203e-310;137;0;306;2327;-1;9999.0;74;167;50;-1;-1;34;6.95293379818203e-310;148;90.0;None;196;-1
0;1032;-1;6.95293379818203e-310;137;0;305;2327;-1;9999.0;74;167;46;-1;-1;34;6.95293379818203e-310;149;90.0;None;162;-1
0;1032;-1;6.95293379818203e-310;136;0;305;2327;-1;9999.0;74;167;41;-1;-1;34;6.95293379818203e-310;150;90.0;None;127;-1
0;1032;-1;6.95293379818203e-310;135;0;306;2327;-1;9999.0;74;167;35;-1;-1;34;6.95293379818203e-310;151;90.0;None;93;-1
0;1032;-1;6.95293379818203e-310;135;0;306;2327;-1;9999.0;74;167;30;-1;-1;34;6.95293379818203e-310;152;90.0;None;59;-1
0;1032;-1;6.95293379818203e-310;134;0;305;2327;-1;9999.0;74;167;30000;-1;-1;34;6.95293379818203e-310;154;90.0;None;26;-1
0;1032;-1;6.95293379818203e-310;134;0;-1;2327;-1;9999.0;74;167;-1;-1;-1;-1;6.95293379818203e-310;155;90.0;None;-1;-1
0;1032;-1;6.95293379818203e-310;133;0;-1;2327;-1;9999.0;74;167;-1;-1;-1;-1;6.95293379818203e-310;156;90.0;None;-1;-1
0;1032;-1;6.95293379818203e-310;132;0;-1;2327;-1;9999.0;74;167;-1;-1;-1;-1;6.95293379818203e-310;157;90.0;None;-1;-1
0;1032;-1;6.95293379818203e-310;131;0;-1;2327;-1;9999.0;74;167;-1;-1;-1;-1;6.95293379818203e-310;158;90.0;None;-1;-1
0;1032;-1;6.95293379818203e-310;131;0;-1;2327;-1;9999.0;74;167;-1;-1;-1;-1;6.95293379818203e-310;158;90.0;None;-1;-1
0;1031;-1;6.95293379818203e-310;130;0;-1;2327;-1;9999.0;74;167;-1;-1;-1;-1;6.95293379818203e-310;159;90.0;None;-1;-1
0;1031;-1;6.95293379818203e-310;130;0;-1;2327;-1;9999.0;74;167;-1;-1;-1;-1;6.95293379818203e-310;159;90.0;None;-1;-1
0;1031;-1;6.95293379818203e-310;129;0;-1;2328;-1;9999.0;74;167;-1;-1;-1;-1;6.95293379818203e-310;159;90.0;None;-1;-1
0;1031;-1;6.95293379818203e-310;129;0;-1;2328;-1;9999.0;74;167;-1;-1;-1;-1;6.95293379818203e-310;159;90.0;None;-1;-1
0;1031;-1;6.95293379818203e-310;129;0;-1;2328;-1;9999.0;74;167;-1;-1;-1;-1;6.95293379818203e-310;159;90.0;None;-1;-1
0;1031;-1;6.95293379818203e-310;128;0;-1;2328;-1;9999.0;74;167;-1;-1;-1;-1;6.95293379818203e-310;160;90.0;None;-1;-1
0;1031;-1;6.95293379818203e-310;128;0;-1;2328;-1;9999.0;74;167;-1;-1;-1;-1;6.95293379818203e-310;160;90.0;None;-1;-1
0;1031;-1;6.95293379818203e-310;128;0;-1;2328;-1;9999.0;74;167;-1;-1;-1;-1;6.95293379818203e-310;160;90.0;None;-1;-1
0;1031;-1;6.95293379818203e-310;128;0;-1;2328;-1;9999.0;74;167;-1;-1;-1;-1;6.95293379818203e-310;160;90.0;None;-1;-1
0;1030;-1;6.95293379818203e-310;128;0;-1;2328;-1;9999.0;74;167;-1;-1;-1;-1;6.95293379818203e-310;160;90.0;None;-1;-1
0;1030;-1;6.95293379818203e-310;128;0;-1;2328;-1;9999.0;74;167;-1;-1;-1;-1;6.95293379818203e-310;161;90.0;None;-1;-1
0;1030;-1;6.95293379818203e-310;128;0;-1;2328;-1;9999.0;74;167;-1;-1;-1;-1;6.95293379818203e-310;161;90.0;None;-1;-1
0;1030;-1;6.95293379818203e-310;128;0;-1;2328;-1;9999.0;74;167;-1;-1;-1;-1;6.95293379818203e-310;162;90.0;None;-1;-1
